block_number,timestamp,tx_hash,log_index,factory_contract_address,pool_contract_address,fee,token0_address,token1_address,ethereum_address
305664521,2021-05-06T14:18:13,0xabf6b9233dc14e0744cce2f7fcc092ccbdc9530ee99b49150c25e2e209a44686,93,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xE931b03260B2854e77e8dA8378A1BC017b13cb97,10000,0x111111111117dC0aa78b770fA6A738034120C302,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2f49880d64c9408bbda52b0b22885815
305664532,2021-05-06T14:19:18,0xb5cb7c4379221e2ba9a0d6ce2971f9bfcca4f5f47cf95245fa1890a90ffa9dcb,0,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xED1da966136abAa240582166827021AEdf55a6B5,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xC8807f0f5BA3fa45FfBdc66928d71c5289249014,0x217da5b4d70e40139f05c44c0e089d40
305664615,2021-05-06T14:29:15,0xdafb58ca307215b85a6d08eb8d1c7861fd0318affa88b1cf670e26b719c2bf6d,79,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x8119C00d8A02C61f813675d23D5acb98851cf274,10000,0x33E07f5055173cF8FeBedE8B21B12D1e2b523205,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xebdf2b1dee0b4ad1a25ce264c96f2f1d
305664658,2021-05-06T14:34:11,0x01921503e96716a860cb5cb13a52ced48984d85bc2e71182e7278a2ab7507e20,92,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x6f483aF1e32cC556d92DE33C0B15C0F8b03a6D12,500,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B,0x8b8b335fb6084a18849364fe92f44056
305664774,2021-05-06T14:37:00,0x3cca9013ddcda01e4eb653eb80d55c262f7851509698b0062d55217431ca9b01,165,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x11184bf5937BeB9085b4f070E7B410Be052e37A6,3000,0x5b52bfB8062Ce664D74bbCd4Cd6DC7Df53Fd7233,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa8b522e0d21d465680841bc8507ca9c0
305664775,2021-05-06T14:37:06,0xbab4afdde04c3da98a0e62bebdb401ebe74ce6244dd734eb1d28d7e41433df2a,99,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xF22bb4E5B4352AC18Eed4b7008e7e8EBbc587938,3000,0x5245C0249e5EEB2A0838266800471Fd32Adb1089,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xaedaae3315b44de2aceded7e0a187149
305664784,2021-05-06T14:37:53,0xd3b6e590108efec8116c6602a71a0ebef2668130837cefe59607154e98a0b4a8,192,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xB29148f6eA9F2d78BA9B2d6b30AF37AfDcC31a9E,10000,0xB64ef51C888972c908CFacf59B47C1AfBC0Ab8aC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x7d74e6e4c7fe40f7be1ed5e42048e182
305664792,2021-05-06T14:40:31,0x3edf42ecd89b87b104f5f20f04ec48acdfe7747f2a481ed23f91329349d3e52f,166,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x1AFeF33988d6c332415e83a5A2740FFEBbAa4B75,10000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf1f955016EcbCd7321c7266BccFB96c68ea5E49b,0xdf4ad43307e44f91a3db63e0d78f8a9c
305664849,2021-05-06T14:47:17,0x3dc2050c97f2a9a3bb7a12745341aa53a86edde9bce42f6c459dc736aa24475a,216,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xc090993fE84B9c0b1baA889b94b5E4bFbb9F13a0,3000,0x037A54AaB062628C9Bbae1FDB1583c195585fe41,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd5cd5fcf83834806a1176583801f2dcb
305665030,2021-05-06T15:00:07,0x9f41c7f14a8e6efa5773f167ea4bcfca9b02e67e58ccd8bb34ecb90e1692a319,145,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xe0e9b1A40CA2B6A7c945C684CcF619449ee35d7B,10000,0x3449FC1Cd036255BA1EB19d65fF4BA2b8903A69a,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x9ae11102fbf84172be0150d51cf92d97
